from,to,co_ppm,hum,mq7_raw,pm1,pm10,pm25,temp,place,case,day type,Unnamed: 12
2025-12-18 10:00:00,2025-12-18 10:05:00,6.4,32,16,133,6680,144,33.9,canteen,morninig,working,
2025-12-18 10:05:00,2025-12-18 10:10:00,7.63675,35,18,37,1594,48,31.0,parking,morninig,working,
2025-12-18 10:15:00,2025-12-18 10:20:00,4.15692,36,12,38,1559,46,30.3,class,morninig,working,
2025-12-18 12:30:00,2025-12-18 12:35:00,5.238332,35,14,51,3024,65,31.9,canteen,afternoon,working,
2025-12-18 12:35:00,2025-12-18 12:40:00,0.2828425,25,2,31,1111,35,35.7,parking,afternoon,working,
2025-12-18 12:40:00,2025-12-18 12:45:00,0.28284,27,2,28,1042,32,32.7,class,afternoon,working,
2025-12-18 16:30:00,2025-12-18 16:35:00,0.0,22,0,27,1019,31,37.9,canteen,evening,working,
2025-12-18 16:35:00,2025-12-18 16:40:00,2.71549,29,9,31,1088,33,33.2,parking,evening,working,
2025-12-18 16:40:00,2025-12-18 16:45:00,0.0,27,0,29,1034,30,32.9,class,evening,working,
2025-12-28 10:00:00,2025-12-28 10:05:00,0.0,70,0,87,4432,103,26.7,canteen,morninig,holiday, 
2025-12-28 10:05:00,2025-12-28 10:10:00,0.0,67,0,74,3777,84,29.2,parking,morninig,holiday,
2025-12-28 10:15:00,2025-12-28 10:20:00,0.0,65,0,75,3754,87,29.4,class,morninig,holiday,
2025-12-28 12:30:00,2025-12-28 12:35:00,0.0,39,0,55,2529,70,34.1,canteen,afternoon,holiday,
2025-12-28 12:35:00,2025-12-28 12:40:00,0.0,38,0,51,2600,66,33.9,parking,afternoon,holiday,
2025-12-28 12:40:00,2025-12-28 12:45:00,0.0,37,0,51,2582,66,33.6,class,afternoon,holiday,
2025-12-28 16:30:00,2025-12-28 16:35:00,0.0,45,0,52,2676,68,33.5,canteen,evening,holiday,
2025-12-28 16:35:00,2025-12-28 16:40:00,6.43168,44,17,52,2624,69,33.0,parking,evening,holiday,
2025-12-28 16:40:00,2025-12-28 16:45:00,0.0,40,0,53,2599,67,32.1,class,evening,holiday,
2025-12-30 10:00:00,2025-12-30 10:05:00,6.4,70,16,124,6282,147,27.8,canteen,morninig,working,
2025-12-30 10:05:00,2025-12-30 10:10:00,5.809477,65,15,75,3754,87,29.4,parking,morninig,working,
2025-12-30 10:15:00,2025-12-30 10:20:00,0.0,68,0,75,3900,80,29.1,class,morninig,working,
2025-12-30 12:30:00,2025-12-30 12:35:00,4.68722,50,13,100,4888,114,32.2,canteen,afternoon,working,
2025-12-30 12:35:00,2025-12-30 12:40:00,8.28191,43,19,58,2941,72,34.3,parking,afternoon,working,
2025-12-30 12:40:00,2025-12-30 12:45:00,0.28284,43,2,46,2192,61,33.7,class,afternoon,working,
2025-12-30 16:30:00,2025-12-30 16:35:00,0.0,48,0,57,2925,73,34.5,canteen,evening,working,
2025-12-30 16:35:00,2025-12-30 16:40:00,32.22158,45,47,76,3636,91,35.5,parking,evening,working,
2025-12-30 16:40:00,2025-12-30 16:45:00,0.0,63,0,75,3703,88,29.4,class,evening,working,
2025-12-30 10:00:00,2025-12-30 10:05:00,7.00928,70,17,132,6664,150,27.8,canteen,morninig,working,
2025-12-30 10:05:00,2025-12-30 10:10:00,5.23832,61,14,160,7319,182,30.3,parking,morninig,working,
2025-12-30 10:15:00,2025-12-30 10:20:00,0.0,67,0,74,3777,84,29.2,class,morninig,working,
2025-12-30 12:30:00,2025-12-30 12:35:00,3.64829,54,11,104,5511,115,33.1,canteen,afternoon,working,
2025-12-30 12:35:00,2025-12-30 12:40:00,2.7,49,9,69,3387,81,35.3,parking,afternoon,working,
2025-12-30 12:40:00,2025-12-30 12:45:00,0.0,49,0,62,3264,73,34.7,class,afternoon,working,
2025-12-30 16:30:00,2025-12-30 16:35:00,0.0,56,0,81,3962,92,32.0,canteen,evening,working,
2025-12-30 16:35:00,2025-12-30 16:40:00,3.16228,62,10,78,3730,92,31.1,parking,evening,working,
2025-12-30 16:40:00,2025-12-30 16:45:00,0.0,61,0,76,3748,89,29.2,class,evening,working,
2026-01-08 10:00:00,2026-01-08 10:05:00,33.25537,26,48,119,6080,135,30.0,canteen,morninig,working,
2026-01-08 10:05:00,2026-01-08 10:10:00,0.0,25,0,23,851,26,30.9,parking,morninig,working,
2026-01-08 10:15:00,2026-01-08 10:20:00,0.0,23,0,24,873,29,30.9,class,morninig,working,
2026-01-08 12:30:00,2026-01-08 12:35:00,2.7,39,9,7,480,70,38.0,canteen,afternoon,working,
2026-01-08 12:35:00,2026-01-08 12:40:00,0.0,49,0,18,725,21,36.1,parking,afternoon,working,
2026-01-08 12:40:00,2026-01-08 12:45:00,0.0,44,0,17,694,19,34.2,class,afternoon,working,
2026-01-08 16:30:00,2026-01-08 16:35:00,0.0,25,0,40,1816,51,36.2,canteen,evening,working,
2026-01-08 16:35:00,2026-01-08 16:40:00,0.0,25,0,48,2633,57,35.1,parking,evening,working,
2026-01-08 16:40:00,2026-01-08 16:45:00,0.0,30,0,37,1466,46,34.5,class,evening,working,
2026-01-09 10:00:00,2026-01-09 10:05:00,9.62341,41,21,173,9236,195,25.7,canteen,morninig,working,
2026-01-08 10:05:00,2026-01-08 10:10:00,0.8,35,4,41,1965,53,30.4,parking,morninig,working,
2026-01-08 10:15:00,2026-01-08 10:20:00,0.0,25,0,40,1816,51,32.3,class,morninig,working,
2026-01-08 12:30:00,2026-01-08 12:35:00,5.23832,22,14,24,923,27,35.3,canteen,afternoon,working,
2026-01-08 12:35:00,2026-01-08 12:40:00,6.4,23,16,99,4944,116,36.7,parking,afternoon,working,
2026-01-08 12:40:00,2026-01-08 12:45:00,0.0,25,0,24,976,27,34.8,class,afternoon,working,
2026-01-08 16:30:00,2026-01-08 16:35:00,0.28284,29,2,28,1061,33,34.0,canteen,evening,working,
2026-01-08 16:35:00,2026-01-08 16:40:00,1.85203,30,7,36,1555,43,35.5,parking,evening,working,
2026-01-09 16:40:00,2026-01-09 16:45:00,0.0,29,0,28,1061,33,34.0,class,evening,working,
2026-01-10 10:00:00,2026-01-10 10:05:00,0.0,51,0,55,3140,72,28.6,canteen,morninig,holiday,
2026-01-08 10:05:00,2026-01-08 10:10:00,0.0,52,0,59,3287,72,29.7,parking,morninig,holiday,
2026-01-08 10:15:00,2026-01-08 10:20:00,0.0,51,0,58,3217,71,29.0,class,morninig,holiday,
2026-01-08 12:30:00,2026-01-08 12:35:00,0.0,35,0,42,1869,52,35.7,canteen,afternoon,holiday,
2026-01-08 12:35:00,2026-01-08 12:40:00,0.1,34,1,40,1730,48,36.3,parking,afternoon,holiday,
2026-01-08 12:40:00,2026-01-08 12:45:00,0.0,35,0,41,1870,50,35.4,class,afternoon,holiday,
2026-01-08 16:30:00,2026-01-08 16:35:00,0.0,45,0,45,2272,60,31.9,canteen,evening,holiday,
2026-01-08 16:35:00,2026-01-08 16:40:00,0.0,42,0,44,2185,56,34.0,parking,evening,holiday,
2026-01-10 16:40:00,2026-01-09 16:45:00,0.0,43,0,45,2202,56,33.0,class,evening,holiday,
2026-01-11 10:00:00,2026-01-10 10:05:00,0.0,53,0,58,3188,72,27.8,canteen,morninig,holiday,
2026-01-08 10:05:00,2026-01-08 10:10:00,0.0,52,0,63,3332,74,29.7,parking,morninig,holiday,
2026-01-08 10:15:00,2026-01-08 10:20:00,0.0,51,0,61,3314,73,29.0,class,morninig,holiday,
2026-01-08 12:30:00,2026-01-08 12:35:00,0.0,37,0,40,1859,51,34.6,canteen,afternoon,holiday,
2026-01-08 12:35:00,2026-01-08 12:40:00,0.8,34,4,38,1794,48,36.0,parking,afternoon,holiday,
2026-01-08 12:40:00,2026-01-08 12:45:00,0.0,33,0,38,1751,47,35.9,class,afternoon,holiday,
2026-01-08 16:30:00,2026-01-08 16:35:00,0.0,45,0,45,2277,59,31.7,canteen,evening,holiday,
2026-01-08 16:35:00,2026-01-08 16:40:00,1.11803,41,5,46,2233,57,33.8,parking,evening,holiday,
2026-01-11 16:40:00,2026-01-09 16:45:00,0.0,43,0,45,2173,57,32.9,class,evening,holiday,
2026-01-12 10:00:00,2026-01-12 10:05:00,31.19872,64,46,76,4109,87,28.3,canteen,morninig,working,
2026-01-12 10:05:00,2026-01-12 10:10:00,0.8,49,4,32,1397,37,33.9,parking,morninig,working,
2026-01-12 10:15:00,2026-01-12 10:20:00,0.0,54,0,29,1156,32,30.9,class,morninig,working,
2026-01-12 12:30:00,2026-01-12 12:35:00,3.16228,37,10,41,1884,51,38.0,canteen,afternoon,working,
2026-01-12 12:35:00,2026-01-12 12:40:00,1.11803,45,5,16,704,19,36.1,parking,afternoon,working,
2026-01-12 12:40:00,2026-01-12 12:45:00,0.0,43,0,16,705,19,34.4,class,afternoon,working,
2026-01-12 16:30:00,2026-01-12 16:35:00,0.28284,46,2,33,1423,40,35.9,canteen,evening,working,
2026-01-12 16:35:00,2026-01-12 16:40:00,1.85203,46,7,35,1566,42,35.3,parking,evening,working,
2026-01-12 16:40:00,2026-01-12 16:45:00,0.0,49,0,34,1456,42,35.0,class,evening,working,
